word,definition,example
perspective,A way of regarding situations or topics etc.,consider what follows from the positivist view
perspiration,Salty fluid secreted by sweat glands.,sweat poured off his brow
persuade,Win approval or support for.,Carry all before one
persuasion,The act of persuading (or attempting to persuade); communication intended to induce belief or action.,It is his persuasion that abortion should never be condoned.
persuasive,Intended or having the power to induce action or belief.,persuasive eloquence
pessimist,A person who expects the worst.,
pessimistic,Expecting the worst possible outcome.,a pessimistic view of the future
pet,A domesticated animal kept for companionship or amusement.,His daughter was petted and spoiled.
petrified,Cause to become stonelike or stiff or dazed and stunned.,The horror petrified his feelings
petrol,A volatile flammable mixture of hydrocarbons (hexane and heptane and octane etc.) derived from petroleum; used mainly as a fuel in internal-combustion engines.,
petrol station,"A filling station, gas station; a facility selling fuel for road motor vehicles.",
petty,Larceny of property having a value less than some amount (the amount varies by locale).,a petty fault
pH,(from potential of hydrogen) the logarithm of the reciprocal of hydrogen-ion concentration in gram atoms per liter; provides a measure on a scale from 0 to 14 of the acidity or alkalinity of a solution (where 7 is neutral and greater than 7 is more basic and less than 7 is more acidic).,The hard words in the passage have been spelled phonetically.
phantom,A ghostly appearing figure.,we were unprepared for the apparition that confronted us
pharmacist,A health professional trained in the art of preparing and dispensing drugs.,
pharmacy,"The art and science of preparing and dispensing drugs and medicines,.",
phase,Any distinct time period in a sequence of events.,we are in a transitional stage in which many former ideas must be revised or rejected
phenomenon,Any state or process known through the senses rather than by intuition or reasoning.,An electromagnetic phenomenon.
philosopher,A specialist in philosophy.,
philosophical,Of or relating to philosophy or philosophers.,philosophical writing
philosophy,A belief (or system of beliefs) accepted as authoritative by some group or school.,"Philosophy is often divided into five major branches: logic, metaphysics, epistemology, ethics and aesthetics."
phoenix,The state capital and largest city located in south central arizona; situated in a former desert that has become a prosperous agricultural area thanks to irrigation.,"Astronomers believe planets might form in this dead star's disk, like the mythical Phoenix rising up out of the ashes."
phone,Electronic equipment that converts sound into electrical signals that can be transmitted over distances and then converts received signals back into sounds.,I talked to him on the telephone
photo,A representation of a person or scene in the form of a print or transparent slide; recorded by a camera on light-sensitive material.,
photocopy,A photographic copy of written or printed or graphic work.,
photograph,A representation of a person or scene in the form of a print or transparent slide; recorded by a camera on light-sensitive material.,She photographs well. The camera loves her.
photographer,Someone who takes photographs professionally.,
photography,The act of taking and printing photographs.,
phrasal verb,"A two-word verb, consisting of a verb and a ""small"" adverb, that has an idiomatic meaning not easily predictable from the individual parts.","In 'The police told the driver to pull over', 'pull over' is a phrasal verb."
phrase,An expression consisting of one or more words forming a grammatical constituent of a sentence.,I wasn't sure how to phrase my condolences without sounding patronising.
physical,Involving the body as distinguished from the mind or spirit.,physical exercise
